,ntaname,value
0,North Side-South Side,2275
1,Bushwick South,1768
2,Clinton,1693
3,Crown Heights North,1465
4,Stuyvesant Heights,1428
5,Bedford,1404
6,East Village,1387
7,Hudson Yards-Chelsea-Flatiron-Union Square,1348
8,West Village,1249
9,East Williamsburg,1198
10,Upper West Side,1176
11,Bushwick North,1154
12,Midtown-Midtown South,1073
13,Greenpoint,1020
14,SoHo-TriBeCa-Civic Center-Little Italy,996
15,Park Slope-Gowanus,970
16,Clinton Hill,909
17,Central Harlem North-Polo Grounds,900
18,Chinatown,890
19,Lower East Side,882
20,Turtle Bay-East Midtown,874
21,Murray Hill-Kips Bay,843
22,Lenox Hill-Roosevelt Island,802
23,Battery Park City-Lower Manhattan,798
24,Astoria,776
25,Yorkville,757
26,Hamilton Heights,753
27,Central Harlem South,719
28,Morningside Heights,684
29,Prospect Lefferts Gardens-Wingate,660
30,Washington Heights South,612
31,Hunters Point-Sunnyside-West Maspeth,597
32,East Harlem North,569
33,Flatbush,538
34,East Harlem South,489
35,Fort Greene,476
36,Lincoln Square,475
37,Carroll Gardens-Columbia Street-Red Hook,447
38,Ridgewood,446
39,Gramercy,443
40,Prospect Heights,441
41,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,438
42,Washington Heights North,359
43,Ocean Hill,340
44,Manhattanville,334
45,Steinway,324
46,Upper East Side-Carnegie Hill,315
47,Crown Heights South,274
48,Jackson Heights,262
49,Sunset Park West,249
50,Old Astoria,223
51,Woodside,216
52,Erasmus,195
53,Windsor Terrace,194
54,Bay Ridge,192
55,Elmhurst,190
56,Queensbridge-Ravenswood-Long Island City,176
57,East New York,170
58,Forest Hills,165
59,East Flatbush-Farragut,164
60,Brooklyn Heights-Cobble Hill,164
61,Flushing,163
62,Marble Hill-Inwood,155
63,Sunset Park East,150
64,Canarsie,147
65,Hammels-Arverne-Edgemere,139
66,Kensington-Ocean Parkway,134
67,Cypress Hills-City Line,113
68,Woodhaven,108
69,Mott Haven-Port Morris,105
70,Elmhurst-Maspeth,101
71,Rugby-Remsen Village,101
72,Rego Park,92
73,Flatlands,87
74,East Flushing,87
75,St. Albans,86
76,Richmond Hill,84
77,Baisley Park,83
78,Midwood,81
79,Briarwood-Jamaica Hills,77
80,West New Brighton-New Brighton-St. George,77
81,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,76
82,East Elmhurst,76
83,Bensonhurst West,74
84,Brighton Beach,72
85,Borough Park,71
86,Williamsburg,70
87,Murray Hill,69
88,Queensboro Hill,68
89,Springfield Gardens South-Brookville,68
90,Stapleton-Rosebank,66
91,Springfield Gardens North,64
92,Queens Village,63
93,Maspeth,60
94,Madison,57
95,Rosedale,56
96,East New York (Pennsylvania Ave),56
97,West Concourse,55
98,Homecrest,55
99,Corona,54
100,Van Cortlandt Village,52
101,Williamsbridge-Olinville,52
102,East Concourse-Concourse Village,50
103,Allerton-Pelham Gardens,50
104,park-cemetery-etc-Manhattan,47
105,Morrisania-Melrose,45
106,Woodlawn-Wakefield,42
107,Far Rockaway-Bayswater,41
108,Brownsville,40
109,Glendale,40
110,South Jamaica,40
111,Middle Village,40
112,New Brighton-Silver Lake,37
113,North Corona,37
114,Stuyvesant Town-Cooper Village,37
115,Kew Gardens,36
116,Jamaica,36
117,Schuylerville-Throgs Neck-Edgewater Park,36
118,Soundview-Castle Hill-Clason Point-Harding Park,36
119,Bensonhurst East,35
120,Mount Hope,34
121,University Heights-Morris Heights,34
122,Grasmere-Arrochar-Ft. Wadsworth,33
123,Pelham Bay-Country Club-City Island,33
124,South Ozone Park,33
125,Ozone Park,32
126,Pelham Parkway,32
127,Spuyten Duyvil-Kingsbridge,31
128,Bayside-Bayside Hills,31
129,Bedford Park-Fordham North,30
130,Pomonok-Flushing Heights-Hillcrest,29
131,Gravesend,29
132,Old Town-Dongan Hills-South Beach,29
133,Kew Gardens Hills,29
134,Highbridge,29
135,Laurelton,28
136,park-cemetery-etc-Brooklyn,27
137,park-cemetery-etc-Queens,27
138,Eastchester-Edenwald-Baychester,26
139,Seagate-Coney Island,25
140,Melrose South-Mott Haven North,25
141,Belmont,24
142,Hunts Point,24
143,North Riverdale-Fieldston-Riverdale,24
144,Parkchester,24
145,Cambria Heights,24
146,Jamaica Estates-Holliswood,23
147,Norwood,23
148,Ocean Parkway South,22
149,Hollis,22
150,Van Nest-Morris Park-Westchester Square,20
151,Lindenwood-Howard Beach,20
152,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,20
153,Bronxdale,19
154,New Dorp-Midland Beach,19
155,Fresh Meadows-Utopia,19
156,College Point,18
157,Kingsbridge Heights,18
158,Grymes Hill-Clifton-Fox Hills,17
159,Co-op City,15
160,Auburndale,15
161,West Farms-Bronx River,15
162,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,15
163,Great Kills,15
164,Fordham South,14
165,Dyker Heights,14
166,Bellerose,14
167,Georgetown-Marine Park-Bergen Beach-Mill Basin,14
168,Mariner's Harbor-Arlington-Port Ivory-Graniteville,13
169,Longwood,13
170,Douglas Manor-Douglaston-Little Neck,12
171,Whitestone,12
172,Westchester-Unionport,12
173,Bath Beach,12
174,New Springville-Bloomfield-Travis,11
175,Soundview-Bruckner,11
176,Claremont-Bathgate,10
177,Crotona Park East,10
178,Port Richmond,9
179,Oakland Gardens,8
180,East Tremont,8
181,Annadale-Huguenot-Prince's Bay-Eltingville,7
182,Charleston-Richmond Valley-Tottenville,7
183,Westerleigh,6
184,Oakwood-Oakwood Beach,6
185,Ft. Totten-Bay Terrace-Clearview,6
186,park-cemetery-etc-Bronx,5
187,Rossville-Woodrow,4
188,West Brighton,4
189,Arden Heights,2
190,Starrett City,1
